,0
92,"一人思ふたのみをもとな是ぞこのあからさまなる何を知リてか : 新井洸 『微明』, 0000, 1916"
93,"目の前の我が手のひらと人ごころまさにうつつに見むよしもがも : 新井洸 『微明』, 0000, 1916"
94,"このへだて石に投げても丁と落ちていと砕けむものならなくに : 新井洸 『微明』, 0000, 1916"
95,"いでいかに思ひ定めむ流しやる木の葉も水も早く行くなり : 新井洸 『微明』, 0000, 1916"
96,"恋ひなづむ心おとろへ反故紙の知らぬ子の手蹟に涙ぐみけり : 新井洸 『微明』, 0000, 1916"
97,"紙ないふ頻にあつれば涙落つ我がおこたりを君知るらむか : 新井洸 『微明』, 0000, 1916"
98,"沈める水の深みのほの明りこころのさびれまなうらに見ゆ : 新井洸 『微明』, 0000, 1916"
99,"おのづからなるらむままにいかにともなれ君ならぬ人に何をも思はず : 新井洸 『微明』, 0000, 1916"
100,"秋の夜のともし灯ふけて物のくまほの暗ければ君が髪思ふ : 新井洸 『微明』, 0000, 1916"
101,"ややあをき頬にかかれる髪もあれきれ長まみの俯目かなしも : 新井洸 『微明』, 0000, 1916"
102,"小夜ふけて眠るといふもうつつなく君がひとみに沈みゆくこと : 新井洸 『微明』, 0000, 1916"
103,"この頃の夜毎のねざめ秋しづけく君をおもふに限りなきかな : 新井洸 『微明』, 0000, 1916"
104,"いねがてに冷え切りし手を額におく涙ながれてとどまらぬかな : 新井洸 『微明』, 0000, 1916"
105,"死にかへりひびきを絶えしうしほ波うねりにうねリまなかひにあり : 新井洸 『微明』, 0000, 1916"
106,"狂ほしき夢のとぎれに大川の夜半の沈まりのひたと迫れり : 新井洸 『微明』, 0000, 1916"
107,"がらす戸の窓のそともに大川の夜半のしじまのすぐ立てるかも : 新井洸 『微明』, 0000, 1916"
108,"秋の夜の水のさむけさ糊白き衾にしみ来ともし灯消さむ : 新井洸 『微明』, 0000, 1916"
109,"がらすの薄き器に雫落ちこのさ夜なかに満ちみてりけり : 新井洸 『微明』, 0000, 1916"
110,"此のままに寝つかむとすれば河ロの汽船の笛のほのにとよむも : 新井洸 『微明』, 0000, 1916"
111,"秋の夜のかかるしじまに胸せまり我は覚むとも人な目ざめそ : 新井洸 『微明』, 0000, 1916"
112,"大空に月は照りたり遠つ人息のぬくみのここにかよはな : 新井洸 『微明』, 0000, 1916"
113,"すみあかき月の光に歩みほけうつらうつらにゆかしみにけり : 新井洸 『微明』, 0000, 1916"
114,"おのが身を小さくきたなく価なくおもひ詰むらく恋は退かず : 新井洸 『微明』, 0000, 1916"
115,"じりじりに思ふおもひのしみうつりいかにか人に我がつらからむ : 新井洸 『微明』, 0000, 1916"
116,"君のごと恋ひ思はるる人ありと知れらば誰か嫉みにをたへむ : 新井洸 『微明』, 0000, 1916"
117,"打負きしのぶに強きわが心君にえたへずた破れぬべく思ふ : 新井洸 『微明』, 0000, 1916"
118,"今宵また眠り安からずかくてつづく疲れのはても恐しきかな : 新井洸 『微明』, 0000, 1916"
119,"このままに気ちがひにならばいかならむ人を見わけてロ走りせむ : 新井洸 『微明』, 0000, 1916"
120,"我が行きしにあかりが点きし人の部屋の宵の寒さのなつかしきかな : 新井洸 『微明』, 0000, 1916"
121,"菊の花灯かげに白く夜を寒み君が素足のいとほしきかな : 新井洸 『微明』, 0000, 1916"
122,"君が母の打ちとけて我を待ちたまふ憂き恋故に悲しかりけり : 新井洸 『微明』, 0000, 1916"
123,"物さびしく二人親み長き夜を熟き紅茶の香をめでにつつ : 新井洸 『微明』, 0000, 1916"
124,"だありやの霜にくづるる朝寒に心わななくなつかしなつかし : 新井洸 『微明』, 0000, 1916"
125,"冬の日の日されの砂に打まみれ心あらさじただにうとくば : 新井洸 『微明』, 0000, 1916"
126,"からからと宵の寒さの刻みあし聞けばえ堪へず恋しきものを : 新井洸 『微明』, 0000, 1916"
127,"冬ぬるむ初夜のしじまにこもり居て息づきぬとも知る人はなし : 新井洸 『微明』, 0000, 1916"
128,"寒き夜をひとりさびしく思ひふけ立てば帯さへほどけぬるかな : 新井洸 『微明』, 0000, 1916"
129,"追ひ来りのび上り立ちて爪かくる大きけものをのがれかねつも : 新井洸 『微明』, 0000, 1916"
130,"合歓の葉はしぼみはてしを灯ともさず端居に見ればすずしき君が目 : 新井洸 『微明』, 0000, 1916"
131,"雲白き夏のゆふべのあかるさに我のみ見たる君がゑまひか : 新井洸 『微明』, 0000, 1916"
132,"日の暮を風船売の残りもの風船玉の夕明かな : 新井洸 『微明』, 0000, 1916"
133,"久方の空晴れわたり風もなし一片の雲うすれうすれ消ゆ : 新井洸 『微明』, 0000, 1916"
134,"郵便馬車ぬらりと赤し氷屋の店さきの灯に粉雨久しも : 新井洸 『微明』, 0000, 1916"
135,"ちろちちろ虫の音さやに闇ふかしたちまち啼きて飛べる蝉かも : 新井洸 『微明』, 0000, 1916"
136,"二百十日の朝あけの空に町尻の工場の笛ひきもまれ居り : 新井洸 『微明』, 0000, 1916"
137,"うす寒き雨の曇リに木蓮は狼籍として散りて光れり : 新井洸 『微明』, 0000, 1916"
138,"雪解けの赤土道に昼ちかき光まつかにながれたるかも : 新井洸 『微明』, 0000, 1916"
139,"桜田のお濠の堤枯芝に雁居ならびて日なたぼこせり : 新井洸 『微明』, 0000, 1916"
140,"髭黒の鼠取り路地を出でにけり荷へる鑵に朝風が寒し : 新井洸 『微明』, 0000, 1916"
141,"水門の木戸に降りつつ水づける雪さへ白み日はタべなり : 新井洸 『微明』, 0000, 1916"
142,"潮そこる材木堀の巨材のうへ眩き昼の風を聞 : 新井洸 『微明』, 0000, 1916"
143,"理髪師は朝戸あけつつ白百合の鉢持て出でぬ街の露けさ : 新井洸 『微明』, 0000, 1916"
144,"はつ冬の空すみあかき宵月に並木広葉はかぐろかりけり : 新井洸 『微明』, 0000, 1916"
145,"をさな児の頬のおしろい寒げにもこの元日のたそがれにけり : 新井洸 『微明』, 0000, 1916"
146,"真昼間の煙突の黒けぶりわき上りわき上りやすからぬかも : 新井洸 『微明』, 0000, 1916"
147,"ああ今日も小ぬくき家に帰らなむさびしく一人父の待つなり : 新井洸 『微明』, 0000, 1916"
148,"さ夜ふかく暑さもあつし高台の病院の窓に煌たる灯かな : 新井洸 『微明』, 0000, 1916"
149,"襲雨来る曇りの街にけたたましく玻璃倒れて破れ響きたり : 新井洸 『微明』, 0000, 1916"
150,"小間物屋おもちや屋の灯に人なかに隣の桝の娘のめづらしさ : 新井洸 『微明』, 0000, 1916"
151,"あづけたる帽子もかへり所作事の幕あかむとす何かさびしや : 新井洸 『微明』, 0000, 1916"
152,"うなじ白きこの幼きが裾からげお百度踏めり母と祖母と : 新井洸 『微明』, 0000, 1916"
153,"敷石のうへか行きかくゆき久しけど素足音なしおごそかなりや : 新井洸 『微明』, 0000, 1916"
154,"おごそかにお百度を踏め白髪の祖母は咳をこらへかねつも : 新井洸 『微明』, 0000, 1916"
155,"朝まだき風は秋なり神前に祈らねばならぬ事なきか我は : 新井洸 『微明』, 0000, 1916"
156,"病院を訪はむとしつつ街に見し紅屋の旗は日に麗らなり : 新井洸 『微明』, 0000, 1916"
157,"病室の日のあらはなれば君が類にさすくれなゐをすべなくも見し : 新井洸 『微明』, 0000, 1916"
158,"やはらかく白くふくらむ枕べにうし紅の貝おかれけるかな : 新井洸 『微明』, 0000, 1916"
159,"何に触れし心ぞや我は夢うつつ現ともなき静けさの底に : 新井洸 『微明』, 0000, 1916"
160,"街のとよみひたと途絶えし真夜中にまことほつつり覚めにけらしも : 新井洸 『微明』, 0000, 1916"
161,"さえざえと既に覚めたる目つぶりてとらへねばならぬ何物のあり : 新井洸 『微明』, 0000, 1916"
162,"たたなはる暗のおくかに目ひらけばとらへかねたる声音なりけり : 新井洸 『微明』, 0000, 1916"
163,"霜こほる小夜のちまたに澄みやかに声をそろへて打つか鶴嘴 : 新井洸 『微明』, 0000, 1916"
164,"お濠のその水近み風落ちしこの夜をふかみ声のすむらむ : 新井洸 『微明』, 0000, 1916"
165,"大土の深き眠りにちやうちやうと打ち入るかもよその鶴嘴を : 新井洸 『微明』, 0000, 1916"
166,"骨立ちて既に掘られし枕木にいかに冷たき夜の霜ならむ : 新井洸 『微明』, 0000, 1916"
167,"地上にはかんてらの灯のはだか灯のゆらゆら燃えて暗き夜ならし : 新井洸 『微明』, 0000, 1916"
168,"御影のかどある石に触れぬらむその手のひらよ霜のちまたに : 新井洸 『微明』, 0000, 1916"
169,"まがなしみ眼つぶれば枕の下とほどほにして声のさやけさ : 新井洸 『微明』, 0000, 1916"
170,"横になりてものを思へば肩さきのうすらに寒き夜となりにけり : 新井洸 『微明』, 0000, 1916"
171,"あかりさす障子あくれば秋ふかき夜庭のさむさ流れ入り来も : 新井洸 『微明』, 0000, 1916"
172,"花瓶の白菊かをる夜の寒さ肝油にしみし膚にかなしも : 新井洸 『微明』, 0000, 1916"
173,"このおほ地ほのぼの春の日に酔へり我がうつし身をいかがすべけむ : 新井洸 『微明』, 0000, 1916"
174,"ひとり身の嘆きをおもみ静かなる四月の空の滓を苦めり : 新井洸 『微明』, 0000, 1916"
175,"春の日の光おもたくひとり居る我が心臓にのしかかりたり : 新井洸 『微明』, 0000, 1916"
176,"ひとりを歯がみて堪ゆれ日輪の光はくろく煤けたるかな : 新井洸 『微明』, 0000, 1916"
177,"鼻血が出たるばかりに灯の前に心しほたれ眠らむと思ふ : 新井洸 『微明』, 0000, 1916"
178,"夜あけ近くやや冴えぬると肉身のいとあまりにもすなほなるかな : 新井洸 『微明』, 0000, 1916"
